[2026-08-20 14:30:49] profsa: requesting Google Drive archive
[2026-08-20 14:30:59] profsa: 0.00/6.90 GiB (0.0%), 0.2 MiB/s
[2026-08-20 14:31:08] profsa: 0.00/6.90 GiB (0.0%), 0.1 MiB/s
[2026-08-20 14:31:22] profsa: 0.00/6.90 GiB (0.0%), 0.1 MiB/s
[2026-08-20 14:31:32] profsa: 0.00/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:31:44] profsa: 0.01/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:32:01] profsa: 0.01/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:32:13] profsa: 0.01/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:32:25] profsa: 0.01/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:32:38] profsa: 0.01/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:32:55] profsa: 0.01/6.90 GiB (0.1%), 0.1 MiB/s
[2026-08-20 14:33:08] profsa: 0.01/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:33:17] profsa: 0.01/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:33:27] profsa: 0.01/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:33:43] profsa: 0.01/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:33:56] profsa: 0.01/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:34:04] profsa: 0.02/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:34:16] profsa: 0.02/6.90 GiB (0.2%), 0.1 MiB/s
[2026-08-20 14:34:30] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:34:42] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:34:50] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:35:02] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:35:17] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:35:24] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:35:36] profsa: 0.02/6.90 GiB (0.3%), 0.1 MiB/s
[2026-08-20 14:35:48] profsa: 0.02/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:35:59] profsa: 0.03/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:36:08] profsa: 0.03/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:36:16] profsa: 0.03/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:36:24] profsa: 0.03/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:36:40] profsa: 0.03/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:36:55] profsa: 0.03/6.90 GiB (0.4%), 0.1 MiB/s
[2026-08-20 14:37:05] profsa: 0.03/6.90 GiB (0.5%), 0.1 MiB/s
[2026-08-20 14:37:16] profsa: 0.03/6.90 GiB (0.5%), 0.1 MiB/s
[2026-08-20 14:37:35] profsa: 0.03/6.90 GiB (0.5%), 0.1 MiB/s
[2026-08-20 14:37:45] profsa: 0.03/6.90 GiB (0.5%), 0.1 MiB/s
[2026-08-20 14:37:53] profsa: 0.04/6.90 GiB (0.5%), 0.1 MiB/s
[2026-08-20 14:38:02] profsa: 0.04/6.90 GiB (0.5%), 0.1 MiB/s
[2026-08-20 14:38:08] profsa: 0.04/6.90 GiB (0.5%), 0.2 MiB/s
[2026-08-20 14:38:14] profsa: 0.04/6.90 GiB (0.6%), 0.2 MiB/s
[2026-08-20 14:38:20] profsa: 0.04/6.90 GiB (0.6%), 0.2 MiB/s
[2026-08-20 14:38:28] profsa: 0.04/6.90 GiB (0.6%), 0.1 MiB/s
[2026-08-20 14:38:41] profsa: 0.04/6.90 GiB (0.6%), 0.1 MiB/s
[2026-08-20 14:38:50] profsa: 0.04/6.90 GiB (0.6%), 0.1 MiB/s
[2026-08-20 14:38:57] profsa: 0.04/6.90 GiB (0.6%), 0.1 MiB/s
[2026-08-20 14:39:06] profsa: 0.04/6.90 GiB (0.6%), 0.1 MiB/s
[2026-08-20 14:39:13] profsa: 0.05/6.90 GiB (0.7%), 0.1 MiB/s
[2026-08-20 14:39:20] profsa: 0.05/6.90 GiB (0.7%), 0.1 MiB/s
[2026-08-20 14:39:27] profsa: 0.05/6.90 GiB (0.7%), 0.1 MiB/s
[2026-08-20 14:39:34] profsa: 0.05/6.90 GiB (0.7%), 0.1 MiB/s
[2026-08-20 14:39:39] profsa: 0.05/6.90 GiB (0.7%), 0.2 MiB/s
[2026-08-20 14:39:46] profsa: 0.05/6.90 GiB (0.7%), 0.2 MiB/s
[2026-08-20 14:39:54] profsa: 0.05/6.90 GiB (0.7%), 0.1 MiB/s
[2026-08-20 14:40:03] profsa: 0.05/6.90 GiB (0.8%), 0.1 MiB/s
