[2026-08-20 14:30:49] unimol: requesting https://github.com/deepmodeling/Uni-Mol/releases/download/v0.1/pocket_pre_220816.pt
[2026-08-20 14:31:14] unimol: 0.00/0.18 GiB (0.6%), 0.0 MiB/s
[2026-08-20 14:31:38] unimol: 0.00/0.18 GiB (1.1%), 0.0 MiB/s
[2026-08-20 14:32:08] unimol: 0.00/0.18 GiB (1.7%), 0.0 MiB/s
[2026-08-20 14:32:31] unimol: 0.00/0.18 GiB (2.2%), 0.0 MiB/s
[2026-08-20 14:32:51] unimol: 0.00/0.18 GiB (2.8%), 0.1 MiB/s
[2026-08-20 14:33:11] unimol: 0.01/0.18 GiB (3.3%), 0.0 MiB/s
[2026-08-20 14:33:30] unimol: 0.01/0.18 GiB (3.9%), 0.1 MiB/s
[2026-08-20 14:33:49] unimol: 0.01/0.18 GiB (4.4%), 0.1 MiB/s
[2026-08-20 14:34:07] unimol: 0.01/0.18 GiB (5.0%), 0.1 MiB/s
[2026-08-20 14:34:29] unimol: 0.01/0.18 GiB (5.5%), 0.0 MiB/s
[2026-08-20 14:34:46] unimol: 0.01/0.18 GiB (6.1%), 0.1 MiB/s
[2026-08-20 14:35:05] unimol: 0.01/0.18 GiB (6.6%), 0.1 MiB/s
[2026-08-20 14:35:22] unimol: 0.01/0.18 GiB (7.2%), 0.1 MiB/s
[2026-08-20 14:35:40] unimol: 0.01/0.18 GiB (7.7%), 0.1 MiB/s
[2026-08-20 14:36:00] unimol: 0.01/0.18 GiB (8.3%), 0.1 MiB/s
[2026-08-20 14:36:21] unimol: 0.02/0.18 GiB (8.8%), 0.0 MiB/s
[2026-08-20 14:36:42] unimol: 0.02/0.18 GiB (9.4%), 0.0 MiB/s
[2026-08-20 14:37:02] unimol: 0.02/0.18 GiB (9.9%), 0.1 MiB/s
[2026-08-20 14:37:23] unimol: 0.02/0.18 GiB (10.5%), 0.0 MiB/s
[2026-08-20 14:37:44] unimol: 0.02/0.18 GiB (11.0%), 0.0 MiB/s
[2026-08-20 14:38:03] unimol: 0.02/0.18 GiB (11.6%), 0.1 MiB/s
[2026-08-20 14:38:23] unimol: 0.02/0.18 GiB (12.1%), 0.0 MiB/s
[2026-08-20 14:38:41] unimol: 0.02/0.18 GiB (12.7%), 0.1 MiB/s
[2026-08-20 14:39:00] unimol: 0.02/0.18 GiB (13.2%), 0.1 MiB/s
[2026-08-20 14:39:18] unimol: 0.02/0.18 GiB (13.8%), 0.1 MiB/s
[2026-08-20 14:39:37] unimol: 0.03/0.18 GiB (14.3%), 0.1 MiB/s
[2026-08-20 14:39:56] unimol: 0.03/0.18 GiB (14.9%), 0.1 MiB/s
